"Year","DOY","HHMM","WindSpeed (m/s)","WindDir (deg)","WindSpeedStdev (m/s)","Tair1 (degC)","Tair2 (degC)","PARin (w/m2)","PARout (w/m2)","Battery (V)"
2013,270,30,1.056,93.4,24.88,-3.027,-2.937,309,270.9,13.8
2013,270,100,1.963,75.92,12.92,-3.39,-3.282,246.7,216.2,13.82
2013,270,130,2.142,91.2,4.778,-3.653,-3.573,180,157.8,13.84
2013,270,200,3.328,91.4,4.994,-3.982,-3.906,128.7,113,14.44
2013,270,230,3.713,96.1,5.886,-4.618,-4.557,95.9,84.1,14.63
2013,270,300,3.299,85.8,4.306,-4.686,-4.647,47.59,41.75,14.44
2013,270,330,3.28,83.8,4.489,-4.315,-4.287,17.55,15.54,13.47
2013,270,400,4.114,92.8,5.39,-3.886,-3.857,4.701,4.111,13.24
2013,270,430,5.017,96.7,5.377,-3.838,-3.82,0.481,0.57,13.15
2013,270,500,4.553,96.1,4.996,-3.729,-3.716,0.158,-0.029,13.07
2013,270,530,5.126,98.8,5.761,-3.563,-3.565,-0.034,0.01,13.03
2013,270,600,4.875,106.5,4.932,-3.387,-3.403,0.02,0.018,12.97
2013,270,630,4.545,100.2,5.212,-3.241,-3.26,-0.115,-0.049,12.94
2013,270,700,4.344,84.8,5.982,-3.121,-3.126,-0.044,-0.131,12.9
2013,270,730,4.118,87.4,11.21,-2.913,-2.91,-0.081,-0.025,12.87
2013,270,800,4.047,84.7,6.155,-2.53,-2.524,-0.038,0.065,12.83
2013,270,830,5.1,88.2,4.489,-2.079,-2.073,-0.024,0.059,12.81
2013,270,900,6.987,90.4,4.411,-1.822,-1.85,-0.127,0.055,12.78
2013,270,930,7.116,87.2,4.345,-1.879,-1.864,0.012,-0.061,12.77
2013,270,1000,6.937,86.8,5.254,-1.832,-1.809,0.016,-0.041,12.74
2013,270,1030,7.249,87.5,3.91,-1.751,-1.73,-0.055,0.12,12.74
2013,270,1100,7.415,86.6,4.376,-1.636,-1.626,-0.083,0.071,12.71
2013,270,1130,7.322,88.6,5.729,-1.558,-1.543,-0.02,-0.045,12.71
2013,270,1200,7.238,92.3,5.081,-1.544,-1.515,-0.099,-0.059,12.69
2013,270,1230,6.875,92.3,4.832,-1.403,-1.378,-0.038,-0.006,12.69
2013,270,1300,7.338,91.7,4.243,-1.508,-1.492,-0.113,-0.086,12.67
2013,270,1330,6.297,91.1,3.673,-1.973,-1.965,-0.111,0.033,12.67
2013,270,1400,5.876,87.7,4.549,-2.267,-2.271,-0.02,0.053,12.66
2013,270,1430,6.082,92,4.98,-2.072,-2.082,-0.168,0.002,12.66
2013,270,1500,7.204,95.8,4.299,-1.219,-1.208,0.071,-0.076,12.64
2013,270,1530,7.066,100.3,5.114,-1.087,-1.049,0.51,0.547,12.65
2013,270,1530,7.066,100.3,5.114,-1.087,-1.049,0.51,0.547,12.65
2013,270,1600,5.885,101.9,5.55,-1.083,-1.04,5.335,4.85,12.64
2013,270,1630,6.603,95.6,5.304,-1.036,-0.99,20.59,17.98,12.66
2013,270,1700,7.231,100,5.995,-1.152,-1.117,50.88,44.18,12.73
2013,270,1730,5.989,107.9,4.794,-1.041,-1.009,89.1,77.41,12.95
2013,270,1800,6.558,104.6,5.249,-0.789,-0.764,128.8,112,14.08
2013,270,1830,6.209,106.5,4.954,-0.601,-0.576,180.9,156.9,14.54
2013,270,1900,6.559,101.8,6.085,-0.913,-0.91,224.8,195.3,14.53
2013,270,1930,6.833,106.1,6.944,-1.562,-1.569,277.4,240.9,14.55
2013,270,2000,6.146,112.9,6.313,-1.593,-1.602,354.3,308.6,14.56
2013,270,2030,4.639,115.8,4.994,-1.649,-1.645,366.5,318.5,14.56
2013,270,2100,3.77,116.1,7.798,-1.343,-1.316,359.1,311.7,13.94
2013,270,2130,2.473,146.6,10.83,-1.205,-1.169,373.5,324,13.78
2013,270,2200,2.901,123.9,20.96,-0.781,-0.753,282.6,245.1,13.77
2013,270,2230,4.061,103.5,6.774,-0.38,-0.342,236.1,204.9,13.78
2013,270,2300,2.948,101.1,8.92,-0.138,-0.103,282.8,244.2,13.77
2013,270,2330,1.9,126.5,9.92,0.011,0.044,250.9,217.3,13.76
2013,271,0,2.162,251.5,24.2,-0.423,-0.42,227.9,197.2,13.76
2013,271,30,1.939,273.6,13.06,-0.852,-0.858,282.1,244.5,13.78
2013,271,100,2.652,256,10.13,-0.822,-0.798,218.7,190.4,13.78
2013,271,130,3.509,254.5,6.593,-1.654,-1.631,105.8,92.5,13.8
2013,271,200,3.467,258.8,6.018,-2.376,-2.339,115.3,101.3,14.42
2013,271,230,4.123,260.4,4.899,-2.652,-2.612,81,71.24,14.59
2013,271,300,4.099,257.5,5.06,-2.744,-2.708,49.56,43.58,14.53
2013,271,330,3.924,258.9,4.302,-2.736,-2.703,14.62,12.94,13.47
2013,271,400,3.784,261.2,5.904,-2.589,-2.556,3.583,3.209,13.23
2013,271,430,3.184,255.3,5.522,-2.279,-2.247,0.231,0.329,13.13
2013,271,500,3.171,244.8,4.688,-2.113,-2.08,-0.043,0.084,13.06
2013,271,530,3.429,241.6,4.874,-2.382,-2.356,-0.042,0.051,13.02
2013,271,600,3.763,246.5,4.672,-2.609,-2.587,-0.095,-0.029,12.96
2013,271,630,3.386,239.5,6.578,-2.696,-2.677,-0.095,0.065,12.93
2013,271,700,3.827,240,4.869,-2.762,-2.745,-0.083,0.092,12.89
2013,271,730,3.603,251.5,4.594,-2.485,-2.468,-0.032,0.022,12.86
2013,271,800,3.224,258.9,4.63,-2.158,-2.138,-0.196,0.055,12.83
2013,271,830,2.768,259,3.566,-1.833,-1.813,-0.148,-0.035,12.81
2013,271,900,1.951,256.5,6.169,-1.392,-1.37,0.008,0.067,12.78
2013,271,930,1.491,334.6,15.59,-0.74,-0.699,-0.087,0.084,12.77
2013,271,1000,1.566,349.5,9.67,-0.542,-0.509,-0.119,0.153,12.74
2013,271,1030,1.385,11.17,13.41,-0.697,-0.664,-0.067,-0.024,12.74
2013,271,1100,0.817,351.4,14.7,-0.785,-0.756,-0.038,0.037,12.72
2013,271,1130,1.209,337.6,9.05,-0.898,-0.872,-0.101,0.074,12.71
2013,271,1200,2.147,304.2,9.15,-1.082,-1.056,-0.014,0.084,12.7
2013,271,1230,1.938,312.6,6.112,-1.076,-1.049,-0.087,0.155,12.69
2013,271,1300,1.878,331.9,4.869,-1.105,-1.087,-0.065,0.027,12.68
2013,271,1330,1.486,344.4,12.35,-1.295,-1.269,-0.004,-0.053,12.68
2013,271,1400,1.127,321.8,17.27,-1.448,-1.427,-0.148,0.043,12.66
2013,271,1430,1.699,305.7,22.15,-1.666,-1.646,-0.004,0.033,12.66
2013,272,800,2.328,38.84,4.516,-2.33,-2.317,-0.002,0.074,12.79
2013,272,830,1.871,43.17,2.249,-2.387,-2.376,-0.02,-0.053,12.78
2013,272,900,1.229,46.7,2.481,-2.51,-2.501,-0.067,-0.045,12.75
